sample.name,Species,Island,Phenotype,cohort,WGS.bioproject
03Dap15441,scandens,Daphne,pink,1987,PRJNA678752
01Dap15465,fortis,Daphne,pink,1987,PRJNA678752
01Dap15471,fortis,Daphne,pink,1987,PRJNA678752
03Dap15476,scandens,Daphne,pink,1987,PRJNA678752
01Dap15478,fortis,Daphne,pink,1987,PRJNA678752
01Dap15482,fortis,Daphne,yellow,1987,PRJNA678752
03Dap15608,scandens,Daphne,yellow,1987,PRJNA678752
01Dap15612,fortis,Daphne,yellow,1987,PRJNA678752
03Dap15615,scandens,Daphne,pink,1987,PRJNA678752
01Dap15621,fortis,Daphne,pink,1987,PRJNA678752
03Dap15638,scandens,Daphne,yellow,1987,PRJNA678752
01Dap15659,fortis,Daphne,yellow,1987,PRJNA678752
03Dap15676,scandens,Daphne,pink,1987,PRJNA678752
01Dap15679,fortis,Daphne,yellow,1987,PRJNA678752
01Dap15681,fortis,Daphne,yellow,1987,PRJNA678752
03Dap15685,scandens,Daphne,pink,1987,PRJNA678752
01Dap15702,fortis,Daphne,pink,1987,PRJNA678752
03Dap15736,scandens,Daphne,pink,1987,PRJNA678752
03Dap15738,scandens,Daphne,pink,1987,PRJNA678752
01Dap15743,fortis,Daphne,yellow,1987,PRJNA678752
01Dap15749,fortis,Daphne,yellow,1987,PRJNA678752
03Dap15760,scandens,Daphne,pink,1987,PRJNA678752
01Dap15829,fortis,Daphne,pink,1987,PRJNA678752
03Dap15837,scandens,Daphne,yellow,1987,PRJNA678752
01Dap15838,fortis,Daphne,pink,1987,PRJNA678752
03Dap15859,scandens,Daphne,,1987,PRJNA678752
01Dap15879,fortis,Daphne,pink,1987,PRJNA678752
03Dap15921,scandens,Daphne,pink,1983,PRJNA678752
01Dap15931,fortis,Daphne,pink,1987,PRJNA678752
01Dap15958,fortis,Daphne,yellow,1987,PRJNA678752
01Dap15978,fortis,Daphne,yellow,1987,PRJNA678752
03Dap15986,scandens,Daphne,,1987,PRJNA678752
01Dap15997,fortis,Daphne,yellow,1983,PRJNA678752
