sample.name,Species,Island,Phenotype,cohort,WGS.bioproject
03Dap18719,scandens,Daphne,yellow,1998,PRJNA678752
01Dap18739,fortis,Daphne,yellow,1993,PRJNA678752
01Dap18746,fortis,Daphne,pink,1993,PRJNA678752
03Dap18751,scandens,Daphne,pink,1998,PRJNA678752
01Dap18754,fortis,Daphne,pink,1993,PRJNA678752
03Dap18757,scandens,Daphne,pink,1998,PRJNA678752
01Dap18760,fortis,Daphne,pink,1993,PRJNA678752
03Dap18761,scandens,Daphne,pink,1998,PRJNA678752
01Dap18763,fortis,Daphne,pink,1993,PRJNA678752
01Dap18783,fortis,Daphne,pink,1998,PRJNA678752
01Dap18784,fortis,Daphne,yellow,1998,PRJNA678752
01Dap18786,fortis,Daphne,yellow,1993,PRJNA678752
03Dap18801,scandens,Daphne,pink,1998,PRJNA678752
03Dap18809,scandens,Daphne,pink,1998,PRJNA678752
03Dap18810,scandens,Daphne,pink,1998,PRJNA678752
03Dap18819,scandens,Daphne,pink,1998,PRJNA678752
01Dap18855,fortis,Daphne,pink,1993,PRJNA678752
01Dap18857,fortis,Daphne,pink,1998,PRJNA678752
03Dap18871,scandens,Daphne,pink,1998,PRJNA678752
01Dap18877,fortis,Daphne,pink,1998,PRJNA678752
03Dap18880,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18887,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18888,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18889,scandens,Daphne,yellow,1998,PRJNA678752
01Dap18900,fortis,Daphne,yellow,1998,PRJNA678752
03Dap18916,scandens,Daphne,pink,1998,PRJNA678752
03Dap18917,scandens,Daphne,pink,1998,PRJNA678752
03Dap18918,scandens,Daphne,pink,1998,PRJNA678752
03Dap18943,scandens,Daphne,pink,1998,PRJNA678752
03Dap18947,scandens,Daphne,pink,1998,PRJNA678752
03Dap18948,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18949,scandens,Daphne,pink,1998,PRJNA678752
03Dap18951,scandens,Daphne,pink,1998,PRJNA678752
03Dap18957,scandens,Daphne,pink,1998,PRJNA678752
03Dap18964,scandens,Daphne,pink,1998,PRJNA678752
01Dap18970,fortis,Daphne,yellow,1998,PRJNA678752
03Dap18971,scandens,Daphne,pink,1998,PRJNA678752
01Dap18979,fortis,Daphne,pink,1998,PRJNA678752
01Dap19000,fortis,Daphne,yellow,1998,PRJNA678752
01Dap11110,fortis,Daphne,pink,2011,PRJNA678752
01Dap11111,fortis,Daphne,pink,2011,PRJNA678752
01Dap11113,fortis,Daphne,pink,2011,PRJNA678752
01Dap11115,fortis,Daphne,pink,2011,PRJNA678752
01Dap11116,fortis,Daphne,pink,2011,PRJNA678752
01Dap11117,fortis,Daphne,pink,2011,PRJNA678752
01Dap11118,fortis,Daphne,pink,2011,PRJNA678752
03Dap11125,scandens,Daphne,yellow,2011,PRJNA678752
03Dap11126,scandens,Daphne,yellow,2011,PRJNA678752
03Dap11127,scandens,Daphne,pink,2011,PRJNA678752
03Dap11128,scandens,Daphne,yellow,2011,PRJNA678752
03Dap11142,scandens,Daphne,pink,2011,PRJNA678752
03Dap11143,scandens,Daphne,pink,2011,PRJNA678752
03Dap11144,scandens,Daphne,yellow,2011,PRJNA678752
03Dap11145,scandens,Daphne,yellow,2011,PRJNA678752
01Dap11150,fortis,Daphne,yellow,2011,PRJNA678752
01Dap11151,fortis,Daphne,yellow,2011,PRJNA678752
01Dap19024,fortis,Daphne,,2009,PRJNA678752
01Dap19041,fortis,Daphne,,2009,PRJNA678752
01Dap19045,fortis,Daphne,,2009,PRJNA678752
01Dap19114,fortis,Daphne,,2009,PRJNA678752
03Dap19122,scandens,Daphne,,2009,PRJNA678752
01Dap19123,fortis,Daphne,,2009,PRJNA678752
01Dap19128,fortis,Daphne,,2009,PRJNA678752
01Dap19141,fortis,Daphne,,2009,PRJNA678752
01Dap19146,fortis,Daphne,,2009,PRJNA678752
01Dap19147,fortis,Daphne,,2009,PRJNA678752
03Dap19184,scandens,Daphne,,2009,PRJNA678752
03Dap19340,scandens,Daphne,,2009,PRJNA678752
03Dap19354,scandens,Daphne,,2009,PRJNA678752
01Dap19362,fortis,Daphne,,2009,PRJNA678752
01Dap19602,fortis,Daphne,,2009,PRJNA678752
01Dap19629,fortis,Daphne,,2009,PRJNA678752
03Dap19634,scandens,Daphne,,2009,PRJNA678752
01Dap19641,fortis,Daphne,,2009,PRJNA678752
01Dap19649,fortis,Daphne,,2009,PRJNA678752
03Dap19662,scandens,Daphne,,2009,PRJNA678752
01Dap19672,fortis,Daphne,,2009,PRJNA678752
01Dap19682,fortis,Daphne,,2009,PRJNA678752
03Dap19684,scandens,Daphne,,2009,PRJNA678752
03Dap19692,scandens,Daphne,,2009,PRJNA678752
01Dap19712,fortis,Daphne,,2010,PRJNA678752
03Dap19722,scandens,Daphne,,2009,PRJNA678752
03Dap19723,scandens,Daphne,,2009,PRJNA678752
01Dap19741,fortis,Daphne,,2009,PRJNA678752
03Dap19743,scandens,Daphne,,2009,PRJNA678752
01Dap19762,fortis,Daphne,,2010,PRJNA678752
01Dap19764,fortis,Daphne,,2010,PRJNA678752
01Dap19772,fortis,Daphne,,2010,PRJNA678752
01Dap19802,fortis,Daphne,,2010,PRJNA678752
01Dap19822,fortis,Daphne,,2010,PRJNA678752
03Dap19823,scandens,Daphne,,2010,PRJNA678752
03Dap19824,scandens,Daphne,,2010,PRJNA678752
03Dap19826,scandens,Daphne,,2010,PRJNA678752
01Dap19840,fortis,Daphne,,2010,PRJNA678752
03Dap19841,scandens,Daphne,,2010,PRJNA678752
03Dap19844,scandens,Daphne,,2010,PRJNA678752
03Dap19846,scandens,Daphne,,2010,PRJNA678752
03Dap19848,scandens,Daphne,,2010,PRJNA678752
03Dap19864,scandens,Daphne,,2010,PRJNA678752
03Dap19882,scandens,Daphne,,2010,PRJNA678752
03Dap19920,scandens,Daphne,,2010,PRJNA678752
01Dap19927,fortis,Daphne,,2010,PRJNA678752
03Dap19944,scandens,Daphne,,2010,PRJNA678752
01Dap19945,fortis,Daphne,,2010,PRJNA678752
01Dap19954,fortis,Daphne,,2010,PRJNA678752
03Dap19964,scandens,Daphne,,2010,PRJNA678752
01Dap19972,fortis,Daphne,,2010,PRJNA678752
03Dap21044,scandens,Daphne,,2010,PRJNA678752
03Dap21045,scandens,Daphne,,2010,PRJNA678752
03Dap21046,scandens,Daphne,,2010,PRJNA678752
01Dap21051,fortis,Daphne,,2010,PRJNA678752
03Dap21053,scandens,Daphne,,2010,PRJNA678752
03Dap21107,scandens,Daphne,,2010,PRJNA678752
01Dap21123,fortis,Daphne,,2010,PRJNA678752
01Dap21127,fortis,Daphne,,2010,PRJNA678752
03Dap21128,fortis,Daphne,,2010,PRJNA678752
03Dap21135,scandens,Daphne,,2010,PRJNA678752
03Dap21136,scandens,Daphne,,2010,PRJNA678752
01Dap21169,fortis,Daphne,,2011,PRJNA678752
03Dap21248,scandens,Daphne,,2011,PRJNA678752
01Dap21249,fortis,Daphne,,2011,PRJNA678752
03Dap21256,scandens,Daphne,,2011,PRJNA678752
01Dap21261,fortis,Daphne,,2011,PRJNA678752
03Dap21268,scandens,Daphne,,2011,PRJNA678752
03Dap21271,scandens,Daphne,,2011,PRJNA678752
01Dap21287,fortis,Daphne,,2011,PRJNA678752
03Dap21289,scandens,Daphne,,2011,PRJNA678752
03Dap21340,scandens,Daphne,,2011,PRJNA678752
01Dap21343,fortis,Daphne,,2011,PRJNA678752
01Dap14674,fortis,Daphne,pink,1987,PRJNA678752
01Dap15788,fortis,Daphne,pink,1987,PRJNA678752
01Dap16881,fortis,Daphne,pink,1991,PRJNA678752
01Dap18994,fortis,Daphne,pink,1998,PRJNA678752
01Dap14533,fortis,Daphne,yellow,1986,PRJNA678752
01Dap17733,fortis,Daphne,pink,1991,PRJNA678752
01Dap17886,fortis,Daphne,pink,1992,PRJNA678752
03Dap18134,scandens,Daphne,pink,1998,PRJNA678752
03Dap19002,scandens,Daphne,,2009,PRJNA678752
03Dap19182,scandens,Daphne,,2009,PRJNA678752
03Dap19745,scandens,Daphne,,2009,PRJNA678752
03Dap19747,scandens,Daphne,,2009,PRJNA678752
03Dap19941,scandens,Daphne,,2010,PRJNA678752
03Dap4223,scandens,Daphne,yellow,1979,PRJNA678752
03Dap5576,scandens,Daphne,yellow,1983,PRJNA678752
03Dap5656,scandens,Daphne,yellow,1983,PRJNA678752
03Dap10206,scandens,Daphne,pink,1983,PRJNA678752
03Dap19152,scandens,Daphne,,2009,PRJNA678752
01Dap16357,fortis,Daphne,pink,1991,PRJNA678752
01Dap11102,fortis,Daphne,yellow,2011,PRJNA678752
01Dap14928,fortis,Daphne,yellow,1987,PRJNA678752
01Dap15388,fortis,Daphne,yellow,1987,PRJNA678752
